mol,A1_5,A1_10,A1_20,A1_40,A1_80,A2_5,A2_10,A2_20,A2_40,A2_80,A1_pore_5,A1_pore_10,A1_pore_20,A1_pore_40,A1_pore_80,A2_pore_5,A2_pore_10,A2_pore_20,A2_pore_40,A2_pore_80,A1_pd3_5,A1_pd3_10,A1_pd3_20,A1_pd3_40,A1_pd3_80,A2_pd3_5,A2_pd3_10,A2_pd3_20,A2_pd3_40,A2_pd3_80,A1_pd3pore_5,A1_pd3pore_10,A1_pd3pore_20,A1_pd3pore_40,A1_pd3pore_80,A2_pd3pore_5,A2_pd3pore_10,A2_pd3pore_20,A2_pd3pore_40,A2_pd3pore_80
NSC_72564,,4.7,7.21,25.92,51.71,,3.04,3.71,9.49,51.85,,1.89,2.01,11.17,21.03,,2.33,5.27,8.53,13.97,,1.05,3.23,16.8,59.04,,2.02,1.38,17.59,27.35,,1.84,1.21,6.22,13.1,,2.2,3,6.9,8.15
NSC_72586,,6.67,11.71,17.93,74.67,,4.57,3.89,7.14,30.84,,1.34,2.5,3.37,25.13,,0.6,2.01,3.84,9.67,,8.62,8.37,39.51,161.53,,6.84,6.48,11.14,58.91,,3.05,8.65,11.81,25,,4,9,12,25
ST001786,,8.23,22.3,27.27,181.32,,18.47,45.48,50,389.89,,34.2,35.6,33.45,489.31,,32.77,40.12,29.19,361.1,,11,15,10,215,,11.66,17.16,11.92,213.07,,28.75,31.5,39.81,450.88,,13.09,14.12,37.03,345.82
ST002653,,161.46,277.06,460.37,960.73,,179.52,271.45,521.53,1143.01,,212.31,542.35,948.13,1951.11,,319.02,589.5,1024.21,1632.8,,151.17,332.42,517.93,1145.59,,151.08,376.58,563.71,1231.37,,303.79,620.74,1274.57,1968.02,,249.06,677.83,1156.42,1806.07
ST003326,,338.32,583.33,670.07,873.57,,349.52,628.46,704.18,965.64,,157.56,330.08,614.72,1036.8,,182.98,427.44,757.87,1272.55,,123.88,195.66,339.91,609.74,,138.32,256.58,483.97,779.39,,258.21,387.48,723.42,1111.55,,232.86,447.49,774.49,1141.98
ST024061,,15.61,17.02,42.22,54.46,,2.3,4.33,11.22,18.42,,7.19,13.37,17.1,15.24,,0.73,0.98,1.08,4.21,,7.01,14.77,27.62,30.24,,1.98,2.58,5.42,7.78,,5.22,8.41,16.14,30.24,,2.97,4.1,7.69,18.57
ST038872,,90.61,140.61,219.08,293.01,,86.6,144.12,227.95,318.02,,112.12,204.06,270.09,372.6,,124.99,212.52,279.41,348.04,,92.11,147.34,238.14,300.28,,91.52,161.3,230.48,308.56,,146.51,242.14,335.46,420,,149.83,260.93,334.85,430
ST044917,,50.34,140.22,273.94,320.9,,99.49,191.56,269.35,461.47,,87.56,198.28,339.57,511.4,,187.93,296.42,528.35,620,,88.17,144.67,240.6,330.65,,172.35,193.71,309.45,403.63,,128.97,189.98,372.11,568.26,,188.21,344.18,540.85,752.13
ST045207,,51.86,96.14,149.52,247.38,,53.81,101.77,157.44,267.45,,77.1,130,226.74,342.2,,84.31,137.6,250,363.29,,75.27,100.92,176.01,331.02,,82.24,186.33,193.2,337.09,,108.58,193.59,311.81,518.6,,128.06,203.87,369.57,534.89
ST045323,,0.1,1,1,2.6,,0.1,1.05,1.44,3.17,,2.02,2.7,5.37,5.55,,0.15,1.1,1.71,2.58,,1.11,2.94,3.52,5.93,,0.12,1.27,1.72,3.56,,3.28,5.91,7.36,12.55,,0.38,3.14,2.65,6.58
ST049791,,36.77,73.41,162.25,303.93,,34.08,76.83,218.35,385.56,,50.41,112.14,277.75,541.88,,59.9,111.21,232.73,511.48,,38.72,77.86,159.01,294.57,,43.06,105.13,168.85,324.96,,62.93,140.6,272.05,472.74,,67.06,151.22,240.74,500.76
ST049792,,37.63,71.86,129.18,262.96,,46.28,74.74,163.27,256.55,,62.26,124.59,248.8,490.6,,77.8,128.67,268.6,408.99,,46.52,83.01,180.31,377.79,,51.59,88.08,222.2,403.74,,67.04,145.43,308.3,508.95,,79.79,191.66,295.88,553.7
ST049942,,36.46,64.91,104.13,202.47,,38.24,50.37,101.49,184.65,,25.43,45.86,71.68,146.4,,22.55,45.45,83.34,156.69,,30.79,65.14,94.53,152.418,,32.52,59.46,90.01,171.65,,27.03,54.9,106.25,202.473,,25.54,45.47,93.07,181.48
ST050757,,47.34,74.98,195.29,561.52,,69.51,87.48,201.62,406.89,,46.07,121.28,189.7,529.39,,44.17,112.45,261.44,446.1,,48.4,104.43,230.49,420.87,,40.19,69.11,164.24,253.72,,51.5,112.77,243.71,515.41,,44.17,87.48,164.24,393.11
ST057111,,22.26,28.45,28.34,61.81,,16.2,59.06,65.14,91.8,,27.49,59.9,65.57,104.23,,28.41,52.7,86.34,110.19,,29.18,50.34,58.51,93.72,,41.44,82.69,61.78,164.42,,20,80.07,87.1,105.35,,11.29,67.9,125.9,137.56
ST057338,,0.92,57.43,109.93,179.06,,29.35,104.55,184.04,309.57,,67.99,111.33,221.37,530.31,,81.05,206.09,427.75,573.29,,1.11,50.45,117.34,267.41,,33.46,126.68,196.11,304.35,,41.2,104.52,438.98,580.93,,119.42,296.27,446.74,573.29
ST074710,,56.39,66.43,104.27,160,,62.75,87.03,135.77,254.39,,81.51,115.87,187.85,299.34,,83.57,114.85,182.22,280.1,,65.13,90.45,121.98,173.13,,69.89,95.89,117.05,255.66,,94.49,130.68,176.11,260,,85.33,114.63,198.77,268.91
ST074716,,74.29,102.76,157.64,298.67,,61.47,87.52,165.96,210.45,,95,130.79,161.13,286.5,,120.55,177.09,210.77,289.53,,103.78,134.98,173.08,393.05,,112.08,158.16,177.59,359.25,,154.9,160.31,236.16,340,,181.44,214.6,270.45,350.58
D724-0097,,243.3,389.46,620.2,516.6,,217.04,397.61,589.2,598.9,,296.47,515.28,815.89,710.5,,293.01,533.7,795.29,740.5,,204.16,392.6,563.24,550,,169.29,329.06,505.52,600,,249.56,497.29,795.86,710.5,,261.18,483.47,727.63,740.5
ciprofloxacin,,1.93,54.63,120.7,147.06,,1.1,101.01,164.81,235.56,,32.44,109.02,301.46,292.24,,11.23,136.71,253.88,263.03,,1.87,182.46,183.29,274.47,,0,164.92,185.53,135.32,,14.01,76.74,243.12,286.13,,3.06,84.28,240.85,258.34
linezolid,,27.91,119.45,172.59,255.16,,34.97,64.87,135.4,289.46,,16.37,44.16,114.54,178.69,,21.65,52.05,102.94,210.93,,16.78,100.63,178.28,268.17,,22.97,62.79,121.89,311.65,,23.99,55.86,251.74,331.44,,36.8,60.24,99.17,438.54
